Scenario_ID,Probability,Hour,Wind_MW,DA_Price,SI_State,Bal_Price
1304,0.000559885335483292,8,240.452,136.0,0,115.6
1304,0.000559885335483292,9,251.889,102.989998,1,128.7374975
1304,0.000559885335483292,10,262.7765,79.339996,1,99.174995
1304,0.000559885335483292,11,276.01750000000004,53.880001,0,45.79800085
1304,0.000559885335483292,12,287.9595,37.810001,0,32.13850085
1304,0.000559885335483292,13,290.2625,31.809999,0,27.03849915
1304,0.000559885335483292,14,287.7355,29.959999,0,25.46599915
1304,0.000559885335483292,15,282.1255,30.93,1,38.6625
1304,0.000559885335483292,16,295.1475,47.849998,1,59.8124975
1304,0.000559885335483292,17,295.086,66.32,1,82.89999999999999
1304,0.000559885335483292,18,281.4355,82.489998,0,70.1164983
1304,0.000559885335483292,19,270.8465,98.389999,0,83.63149915
1304,0.000559885335483292,20,261.4235,153.300003,1,191.62500375000002
1304,0.000559885335483292,21,245.6175,209.320007,1,261.65000875
1304,0.000559885335483292,22,209.561,156.0,1,195.0
1304,0.000559885335483292,23,170.685,116.589996,1,145.737495
1304,0.000559885335483292,24,134.749,91.889999,0,78.10649915
1305,0.0011421660843859158,1,130.051,83.970001,0,71.37450084999999
1305,0.0011421660843859158,2,145.2965,80.839996,1,101.049995
1305,0.0011421660843859158,3,158.9395,80.879997,1,101.09999625
1305,0.0011421660843859158,4,172.525,82.470001,1,103.08750125
1305,0.0011421660843859158,5,187.3525,82.480003,0,70.10800255
1305,0.0011421660843859158,6,202.3435,81.25,0,69.0625
1305,0.0011421660843859158,7,223.638,107.480003,0,91.35800255
1305,0.0011421660843859158,8,240.452,118.959999,1,148.69999875
1305,0.0011421660843859158,9,251.889,110.120003,1,137.65000375
1305,0.0011421660843859158,10,262.7765,92.410004,1,115.512505
1305,0.0011421660843859158,11,276.01750000000004,85.400002,0,72.5900017
1305,0.0011421660843859158,12,287.9595,79.480003,1,99.35000375
1305,0.0011421660843859158,13,290.2625,71.18,1,88.97500000000001
1305,0.0011421660843859158,14,287.7355,61.93,0,52.640499999999996
1305,0.0011421660843859158,15,282.1255,62.09,0,52.7765
1305,0.0011421660843859158,16,295.1475,59.889999,0,50.90649915
1305,0.0011421660843859158,17,295.086,64.099998,0,54.4849983
1305,0.0011421660843859158,18,281.4355,87.949997,1,109.93749625
1305,0.0011421660843859158,19,270.8465,103.949997,0,88.35749745
1305,0.0011421660843859158,20,261.4235,124.480003,0,105.80800255
1305,0.0011421660843859158,21,245.6175,134.419998,1,168.02499749999998
1305,0.0011421660843859158,22,209.561,114.650002,0,97.4525017
1305,0.0011421660843859158,23,170.685,96.540001,0,82.05900085
1305,0.0011421660843859158,24,134.749,87.959999,0,74.76599915
1306,0.0011421660843859158,1,130.051,83.970001,0,71.37450084999999
1306,0.0011421660843859158,2,145.2965,80.839996,1,101.049995
1306,0.0011421660843859158,3,158.9395,80.879997,0,68.74799745
1306,0.0011421660843859158,4,172.525,82.470001,1,103.08750125
1306,0.0011421660843859158,5,187.3525,82.480003,1,103.10000375
1306,0.0011421660843859158,6,202.3435,81.25,0,69.0625
1306,0.0011421660843859158,7,223.638,107.480003,1,134.35000374999998
1306,0.0011421660843859158,8,240.452,118.959999,0,101.11599915
1306,0.0011421660843859158,9,251.889,110.120003,0,93.60200255
1306,0.0011421660843859158,10,262.7765,92.410004,1,115.512505
1306,0.0011421660843859158,11,276.01750000000004,85.400002,1,106.7500025
1306,0.0011421660843859158,12,287.9595,79.480003,1,99.35000375
1306,0.0011421660843859158,13,290.2625,71.18,0,60.50300000000001
1306,0.0011421660843859158,14,287.7355,61.93,0,52.640499999999996
1306,0.0011421660843859158,15,282.1255,62.09,1,77.61250000000001
1306,0.0011421660843859158,16,295.1475,59.889999,0,50.90649915
1306,0.0011421660843859158,17,295.086,64.099998,0,54.4849983
1306,0.0011421660843859158,18,281.4355,87.949997,0,74.75749744999999
1306,0.0011421660843859158,19,270.8465,103.949997,0,88.35749745
1306,0.0011421660843859158,20,261.4235,124.480003,1,155.60000374999998
1306,0.0011421660843859158,21,245.6175,134.419998,0,114.25699829999999
1306,0.0011421660843859158,22,209.561,114.650002,1,143.3125025
1306,0.0011421660843859158,23,170.685,96.540001,0,82.05900085
1306,0.0011421660843859158,24,134.749,87.959999,1,109.94999874999999
1307,0.0011421660843859158,1,130.051,83.970001,1,104.96250125
1307,0.0011421660843859158,2,145.2965,80.839996,0,68.7139966
1307,0.0011421660843859158,3,158.9395,80.879997,1,101.09999625
1307,0.0011421660843859158,4,172.525,82.470001,1,103.08750125
1307,0.0011421660843859158,5,187.3525,82.480003,1,103.10000375
1307,0.0011421660843859158,6,202.3435,81.25,1,101.5625
1307,0.0011421660843859158,7,223.638,107.480003,1,134.35000374999998
1307,0.0011421660843859158,8,240.452,118.959999,1,148.69999875
1307,0.0011421660843859158,9,251.889,110.120003,0,93.60200255
1307,0.0011421660843859158,10,262.7765,92.410004,0,78.5485034
1307,0.0011421660843859158,11,276.01750000000004,85.400002,0,72.5900017
1307,0.0011421660843859158,12,287.9595,79.480003,0,67.55800255
1307,0.0011421660843859158,13,290.2625,71.18,0,60.50300000000001
1307,0.0011421660843859158,14,287.7355,61.93,0,52.640499999999996
1307,0.0011421660843859158,15,282.1255,62.09,1,77.61250000000001
1307,0.0011421660843859158,16,295.1475,59.889999,0,50.90649915
1307,0.0011421660843859158,17,295.086,64.099998,0,54.4849983
1307,0.0011421660843859158,18,281.4355,87.949997,1,109.93749625
1307,0.0011421660843859158,19,270.8465,103.949997,0,88.35749745
1307,0.0011421660843859158,20,261.4235,124.480003,1,155.60000374999998
1307,0.0011421660843859158,21,245.6175,134.419998,0,114.25699829999999
1307,0.0011421660843859158,22,209.561,114.650002,1,143.3125025
1307,0.0011421660843859158,23,170.685,96.540001,1,120.67500125000001
1307,0.0011421660843859158,24,134.749,87.959999,0,74.76599915
1308,0.0011421660843859158,1,130.051,83.970001,0,71.37450084999999
1308,0.0011421660843859158,2,145.2965,80.839996,1,101.049995
1308,0.0011421660843859158,3,158.9395,80.879997,1,101.09999625
1308,0.0011421660843859158,4,172.525,82.470001,1,103.08750125
1308,0.0011421660843859158,5,187.3525,82.480003,1,103.10000375
1308,0.0011421660843859158,6,202.3435,81.25,0,69.0625
1308,0.0011421660843859158,7,223.638,107.480003,0,91.35800255
1308,0.0011421660843859158,8,240.452,118.959999,0,101.11599915
1308,0.0011421660843859158,9,251.889,110.120003,1,137.65000375
1308,0.0011421660843859158,10,262.7765,92.410004,1,115.512505
1308,0.0011421660843859158,11,276.01750000000004,85.400002,0,72.5900017
1308,0.0011421660843859158,12,287.9595,79.480003,0,67.55800255
1308,0.0011421660843859158,13,290.2625,71.18,0,60.50300000000001
1308,0.0011421660843859158,14,287.7355,61.93,0,52.640499999999996
1308,0.0011421660843859158,15,282.1255,62.09,1,77.61250000000001
1308,0.0011421660843859158,16,295.1475,59.889999,1,74.86249875
1308,0.0011421660843859158,17,295.086,64.099998,1,80.1249975
1308,0.0011421660843859158,18,281.4355,87.949997,0,74.75749744999999
1308,0.0011421660843859158,19,270.8465,103.949997,0,88.35749745
1308,0.0011421660843859158,20,261.4235,124.480003,1,155.60000374999998
1308,0.0011421660843859158,21,245.6175,134.419998,1,168.02499749999998
1308,0.0011421660843859158,22,209.561,114.650002,1,143.3125025
1308,0.0011421660843859158,23,170.685,96.540001,1,120.67500125000001
1308,0.0011421660843859158,24,134.749,87.959999,0,74.76599915
1309,0.00040311744154797004,1,130.051,58.5,0,49.725
1309,0.00040311744154797004,2,145.2965,30.67,1,38.337500000000006
1309,0.00040311744154797004,3,158.9395,25.639999,1,32.04999875
1309,0.00040311744154797004,4,172.525,17.450001,1,21.81250125
1309,0.00040311744154797004,5,187.3525,9.77,0,8.304499999999999
1309,0.00040311744154797004,6,202.3435,10.02,0,8.517
1309,0.00040311744154797004,7,223.638,26.469999,0,22.499499150000002
1309,0.00040311744154797004,8,240.452,30.0,1,37.5
1309,0.00040311744154797004,9,251.889,31.629999,1,39.537498750000005
1309,0.00040311744154797004,10,262.7765,23.950001,1,29.93750125
1309,0.00040311744154797004,11,276.01750000000004,3.58,0,3.043
1309,0.00040311744154797004,12,287.9595,2.92,1,3.65
1309,0.00040311744154797004,13,290.2625,2.74,1,3.4250000000000003
1309,0.00040311744154797004,14,287.7355,0.97,0,0.8245
1309,0.00040311744154797004,15,282.1255,0.0,0,0.0
1309,0.00040311744154797004,16,295.1475,0.0,0,0.0
1309,0.00040311744154797004,17,295.086,-0.01,0,-0.0085
1309,0.00040311744154797004,18,281.4355,1.51,1,1.8875
1309,0.00040311744154797004,19,270.8465,11.72,0,9.962
1309,0.00040311744154797004,20,261.4235,29.0,0,24.65
1309,0.00040311744154797004,21,245.6175,45.07,1,56.3375
1309,0.00040311744154797004,22,209.561,38.790001,0,32.97150085
1309,0.00040311744154797004,23,170.685,38.68,0,32.878
1309,0.00040311744154797004,24,134.749,38.099998,0,32.3849983
1310,0.00040311744154797004,1,130.051,58.5,0,49.725
1310,0.00040311744154797004,2,145.2965,30.67,1,38.337500000000006
1310,0.00040311744154797004,3,158.9395,25.639999,0,21.793999149999998
1310,0.00040311744154797004,4,172.525,17.450001,1,21.81250125
1310,0.00040311744154797004,5,187.3525,9.77,1,12.212499999999999
1310,0.00040311744154797004,6,202.3435,10.02,0,8.517
1310,0.00040311744154797004,7,223.638,26.469999,1,33.08749875
1310,0.00040311744154797004,8,240.452,30.0,0,25.5
1310,0.00040311744154797004,9,251.889,31.629999,0,26.88549915
1310,0.00040311744154797004,10,262.7765,23.950001,1,29.93750125
1310,0.00040311744154797004,11,276.01750000000004,3.58,1,4.475
1310,0.00040311744154797004,12,287.9595,2.92,1,3.65
1310,0.00040311744154797004,13,290.2625,2.74,0,2.329
1310,0.00040311744154797004,14,287.7355,0.97,0,0.8245
1310,0.00040311744154797004,15,282.1255,0.0,1,0.0
1310,0.00040311744154797004,16,295.1475,0.0,0,0.0
1310,0.00040311744154797004,17,295.086,-0.01,0,-0.0085
1310,0.00040311744154797004,18,281.4355,1.51,0,1.2834999999999999
1310,0.00040311744154797004,19,270.8465,11.72,0,9.962
1310,0.00040311744154797004,20,261.4235,29.0,1,36.25
1310,0.00040311744154797004,21,245.6175,45.07,0,38.3095
1310,0.00040311744154797004,22,209.561,38.790001,1,48.487501249999994
1310,0.00040311744154797004,23,170.685,38.68,0,32.878
1310,0.00040311744154797004,24,134.749,38.099998,1,47.6249975
1311,0.00040311744154797004,1,130.051,58.5,1,73.125
1311,0.00040311744154797004,2,145.2965,30.67,0,26.0695
1311,0.00040311744154797004,3,158.9395,25.639999,1,32.04999875
1311,0.00040311744154797004,4,172.525,17.450001,1,21.81250125
1311,0.00040311744154797004,5,187.3525,9.77,1,12.212499999999999
1311,0.00040311744154797004,6,202.3435,10.02,1,12.524999999999999
1311,0.00040311744154797004,7,223.638,26.469999,1,33.08749875
1311,0.00040311744154797004,8,240.452,30.0,1,37.5
1311,0.00040311744154797004,9,251.889,31.629999,0,26.88549915
1311,0.00040311744154797004,10,262.7765,23.950001,0,20.35750085
1311,0.00040311744154797004,11,276.01750000000004,3.58,0,3.043
1311,0.00040311744154797004,12,287.9595,2.92,0,2.4819999999999998
1311,0.00040311744154797004,13,290.2625,2.74,0,2.329
1311,0.00040311744154797004,14,287.7355,0.97,0,0.8245
1311,0.00040311744154797004,15,282.1255,0.0,1,0.0
1311,0.00040311744154797004,16,295.1475,0.0,0,0.0
1311,0.00040311744154797004,17,295.086,-0.01,0,-0.0085
1311,0.00040311744154797004,18,281.4355,1.51,1,1.8875
1311,0.00040311744154797004,19,270.8465,11.72,0,9.962
1311,0.00040311744154797004,20,261.4235,29.0,1,36.25
1311,0.00040311744154797004,21,245.6175,45.07,0,38.3095
1311,0.00040311744154797004,22,209.561,38.790001,1,48.487501249999994
1311,0.00040311744154797004,23,170.685,38.68,1,48.35
1311,0.00040311744154797004,24,134.749,38.099998,0,32.3849983
1312,0.00040311744154797004,1,130.051,58.5,0,49.725
1312,0.00040311744154797004,2,145.2965,30.67,1,38.337500000000006
1312,0.00040311744154797004,3,158.9395,25.639999,1,32.04999875
1312,0.00040311744154797004,4,172.525,17.450001,1,21.81250125
1312,0.00040311744154797004,5,187.3525,9.77,1,12.212499999999999
1312,0.00040311744154797004,6,202.3435,10.02,0,8.517
1312,0.00040311744154797004,7,223.638,26.469999,0,22.499499150000002
1312,0.00040311744154797004,8,240.452,30.0,0,25.5
1312,0.00040311744154797004,9,251.889,31.629999,1,39.537498750000005
1312,0.00040311744154797004,10,262.7765,23.950001,1,29.93750125
1312,0.00040311744154797004,11,276.01750000000004,3.58,0,3.043
